tweet_id,relevance,grounding,helpfulness,conciseness,unsupported_claims,tone,evaluation_method
1384190,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2342047,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
510294,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
440937,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2346284,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2981911,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
2790638,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
2617262,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1955323,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2355241,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
135121,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2894594,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2151877,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1711433,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
477706,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1366943,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2822408,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1693621,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
277268,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2811108,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1572936,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
2375335,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
1265087,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2935110,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2725940,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2460277,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
811628,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
888382,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
179407,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2309333,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
218883,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1520445,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
980606,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
671777,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1380529,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
1490241,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
845712,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2538876,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
382301,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2184518,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
180010,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1248965,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
565857,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2933640,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2673422,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2533240,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2260858,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1211205,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
235176,1.0,0.0,0.5,0.0,0.0,1.0,heuristic
993209,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
793392,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
885352,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2578438,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2614173,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1709395,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1195828,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2847447,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2856688,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
190118,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2290892,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2460000,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
232388,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2318459,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
197943,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
974800,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
346275,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
793922,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
294857,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
643821,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2553849,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1651203,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1466009,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1544157,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1015582,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
946527,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
788653,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1786171,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2758950,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
145808,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
962039,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
1828696,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2875647,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2405118,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
549331,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2919874,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
270927,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
458894,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
1435693,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2226790,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1310984,1.0,1.0,1.0,0.0,0.0,1.0,heuristic
848150,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
671600,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2555213,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
665255,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1668358,1.0,0.0,0.5,0.0,0.0,1.0,heuristic
2319446,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2525442,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
799632,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2875643,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1600148,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
722142,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2135559,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
958822,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
689512,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2670736,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
2631385,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
192322,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
580648,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1155165,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
809408,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
431622,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2663918,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1648515,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1286984,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
756327,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
508101,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
649628,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
980086,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
432331,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
865804,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
526547,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
17918,1.0,1.0,1.0,1.0,0.0,1.0,heuristic
2933563,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1649138,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2601540,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1629851,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
678292,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
318878,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
1275061,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1493721,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1240443,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
835521,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2320277,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2004723,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
483781,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
512367,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2918637,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
465093,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2764416,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
612749,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
425459,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
844138,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
564900,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2949511,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
789292,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
279318,0.0,1.0,0.5,1.0,0.0,1.0,heuristic
1553854,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2338681,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
992879,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2397278,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
2611603,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2211473,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
129712,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
486748,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2260782,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1401350,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2276757,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
281431,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1358999,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
2318431,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
627847,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2275911,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
314259,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
